property_id,property_name_en,property_name_zh,typology_code,typology_label,label_status,baseline_final_status,current_status,final_label_status_after_critical_review,confidence_band,confidence_score,criteria_used,criteria_evidence_summary,brief_synthesis_evidence_summary,phase1d_metadata_evidence,ftg_theme_evidence,ftg_chrono_evidence,typology_specific_rationale,why_core_or_probable_or_candidate,false_positive_check,contradictory_evidence_summary,human_anchor_used,negative_anchor_rule_used,boundary_case_rule_used,critical_review_result,critical_review_reason,review_queue_reason,non_main_signal_type,research_note,phase2b_5_user_decision_verbatim,phase2b_5_user_note,phase2b_6_previous_status,phase2b_6_rule_version,phase2b_6_change_source,phase2b_7_previous_status,phase2b_7_rule_version,phase2b_7_change_source,phase2b_7_user_decision_verbatim,phase2b_7_user_note,phase2b_8b_previous_status,phase2b_8b_rule_version,phase2b_8b_change_source,phase2b_8b_user_decision_verbatim,phase2b_8b_user_note,t13_fit_class,t13_main_fit_sensitivity,iteration_last_changed,rule_version,codebook_version,phase2b_2_rule_version,phase2b_4_previous_status,phase2b_4_rule_version,phase2b_5_previous_status,phase2b_5_rule_version,phase2b_5_change_source
2,City of Quito,基多旧城,T04_HISTORIC_BUILDINGS_ENSEMBLES,Historic buildings and ensembles,probable_label,probable_label,candidate_label,candidate_label,medium,0.67,ii; iv,"criteria ii, iv intersects with rule signals for T04_HISTORIC_BUILDINGS_ENSEMBLES; criteria_txt=(ii)(iv)","brief-synthesis text cues: church | criteria signal: ii, iv",Article1=Group of Buildings,"theme cues: building, buildings, monument, monuments",none_identified,"label-specific OUV proxy terms found: church | criteria-aware gate supported by criteria ii, iv",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,candidate_label,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
2,City of Quito,基多旧城,T07_RELIGIOUS,Religious properties,probable_label,probable_label,candidate_label,candidate_label,medium,0.57,ii; iv,"criteria ii, iv intersects with rule signals for T07_RELIGIOUS; criteria_txt=(ii)(iv)","brief-synthesis text cues: church | criteria signal: ii, iv",Article1=Group of Buildings,none_identified,none_identified,"label-specific OUV proxy terms found: church | criteria-aware gate supported by criteria ii, iv",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,candidate_label,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,4,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
10,Lower Valley of the Awash,阿瓦什低谷,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.18,ii; iv,"criteria ii, iv intersects with rule signals for T05_SETTLEMENTS; criteria_txt=(ii)(iii)(iv)","criteria signal: ii, iv",Article1=Site,none_identified,none_identified,"criteria-aware gate supported by criteria ii, iv",insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: downgrade_to_candidate，且该项目应是 T03 Fossil 的典型案例,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: downgrade_to_candidate，且该项目应是 T03 Fossil 的典型案例",candidate_label,,downgrade_to_candidate，且该项目应是 T03 Fossil 的典型案例,当时出土的52块人类骨骼化石还原出了著名的露西(Lucy),candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
12,Tiya,蒂亚,T04_HISTORIC_BUILDINGS_ENSEMBLES,Historic buildings and ensembles,probable_label,probable_label,candidate_label,candidate_label,medium,0.62,i; iv,"criteria i, iv intersects with rule signals for T04_HISTORIC_BUILDINGS_ENSEMBLES; criteria_txt=(i)(iv)","brief-synthesis text cues: monument, monuments | criteria signal: i, iv",Article1=Site,none_identified,none_identified,"label-specific OUV proxy terms found: monument, monuments | criteria-aware gate supported by criteria i, iv",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,candidate_label,T04 downgraded: historic urban property better represented as T05 unless architectural ensemble value is independently dominant.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
12,Tiya,蒂亚,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,rejected_label,rejected_label,candidate_label,candidate_label,low,0.18,iv,criteria iv intersects with rule signals for T05_SETTLEMENTS; criteria_txt=(i)(iv),criteria signal: iv,Article1=Site,none_identified,none_identified,criteria-aware gate supported by criteria iv,insufficient or contradicted typology-specific evidence,passed,none_identified,none,none,none,phase2b_4_adjusted,Phase 2B.4 user_review_decision: downgrade_to_candidate,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.4 user_review_decision: downgrade_to_candidate",candidate_label,,downgrade_to_candidate,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,phase2b_4_user_review_and_residual_scan_v1.0,candidate_label,,
12,Tiya,蒂亚,T13_SYMBOLIC_MEMORIAL,Symbolic properties and memorials,probable_label,probable_label,candidate_label,candidate_label,medium,0.65,i; iv,"criteria i, iv intersects with rule signals for T13_SYMBOLIC_MEMORIAL; criteria_txt=(i)(iv)","brief-synthesis text cues: symbol | criteria signal: i, iv",Article1=Site,none_identified,none_identified,"label-specific OUV proxy terms found: symbol | criteria-aware gate supported by criteria i, iv",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,high-risk typology; T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,candidate_label,T13_SYMBOLIC_MEMORIAL downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,strong_cultural_symbolic_hint,high,4,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
15,Aksum,阿克苏姆考古遗址,T09_MILITARY,Military properties,probable_label,candidate_label,candidate_label,candidate_label,medium,0.57,iv,criteria iv intersects with rule signals for T09_MILITARY; criteria_txt=(i)(iv),brief-synthesis text cues: castle | criteria signal: iv,Article1=Group of Buildings,none_identified,none_identified,label-specific OUV proxy terms found: castle | criteria-aware gate supported by criteria iv,"secondary, generic, or boundary evidence preserved outside main diagnostics",passed,none_identified,none,none,none,downgraded_to_candidate,T09 wall/conflict wording appears incidental or background,T09 wall/conflict wording appears incidental or background; high-risk typology; T09 wall/conflict wording appears incidental or background,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
18,"Rock-Hewn Churches, Lalibela",拉利贝拉岩石教堂,T05_SETTLEMENTS,Urban and rural settlements / historic towns and villages,probable_label,candidate_label,candidate_label,candidate_label,medium,0.57,ii,criteria ii intersects with rule signals for T05_SETTLEMENTS; criteria_txt=(i)(ii)(iii),brief-synthesis text cues: village | criteria signal: ii,Article1=Site,none_identified,none_identified,label-specific OUV proxy terms found: village | criteria-aware gate supported by criteria ii,"secondary, generic, or boundary evidence preserved outside main diagnostics",passed,none_identified,none,none,none,phase2b_5_adjusted,"T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.5 T05 correction: church complex signal is not central settlement morphology; preserve as candidate only.","T05 requires settlement-scale property character, not location inside a city; high-risk typology; T05 requires settlement-scale property character, not location inside a city; T05 promoted: settlement-scale morphology, urban/village structure, or historic-town identity is central.; Phase 2B.5 T05 correction: church complex signal is not central settlement morphology; preserve as candidate only.",candidate_label,Phase 2B.5 T05 correction: church complex signal is not central settlement morphology; preserve as candidate only.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,1,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,probable_label,,probable_label,phase2b_5_final_micro_patch_v1.0,T05_final_expert_correction
19,"Fasil Ghebbi, Gondar Region",贡德尔地区的法西尔盖比城堡及古建筑,T07_RELIGIOUS,Religious properties,probable_label,probable_label,candidate_label,candidate_label,medium,0.57,ii; iii,"criteria ii, iii intersects with rule signals for T07_RELIGIOUS; criteria_txt=(ii)(iii)","brief-synthesis text cues: church | criteria signal: ii, iii",Article1=Group of Buildings,none_identified,none_identified,"label-specific OUV proxy terms found: church | criteria-aware gate supported by criteria ii, iii",strong but not definitive OUV-relevant typology evidence,passed,none_identified,none,none,none,phase2b_2_adjusted,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,candidate_label,T07_RELIGIOUS downgraded by stricter evidence threshold after over-assignment diagnostic; association preserved as candidate.,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,4,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
19,"Fasil Ghebbi, Gondar Region",贡德尔地区的法西尔盖比城堡及古建筑,T09_MILITARY,Military properties,candidate_label,candidate_label,candidate_label,candidate_label,low,0.5,,no relevant criteria signal identified for T09_MILITARY; criteria_txt=(ii)(iii),"brief-synthesis text cues: fortress, wall",Article1=Group of Buildings,theme cues: castle,none_identified,"label-specific OUV proxy terms found: fortress, wall","secondary, generic, or boundary evidence preserved outside main diagnostics",candidate_only_not_counted,"evidence is secondary, generic, or not central enough for main diagnostics",none,none,none,not_applicable,critical pass applies only to core/probable labels,high-risk typology,candidate_label,,,,candidate_label,,,candidate_label,,,,,candidate_label,,,,,,,,phase2b_controlled_full_reconstruction_v1.0_using_phase2a_v4_3,phase2a_ftg_typology_codebook_v0.1,phase2b_2_iterative_convergence_v1.1,candidate_label,,candidate_label,,
