edge_id,property_id,property_name_en,source_region,target_region,direction,exchange_type_refined,exchange_geography,evidence_quote,confidence,data_layer,review_status,whc_official_url
R0001,18,"Rock-Hewn Churches, Lalibela",West Asia,East Africa / Horn of Africa,source_to_target,religious_transmission,holy_land_model,"The King of Lalibela set out to build a symbol of the holy land, when pilgrimages to it were rendered impossible by the historical situation. In the Church of Biet Golgotha, are replicas of the tomb of Christ, and of Adam, and the crib of the Nativity. The holy city of Lalibela became a substitute for the holy places of Jerusalem and Bethlehem, and as such has had considerable influence on Ethiopian Christianity.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/18/
R0002,119,Timbuktu,Transregional / Multiple,West Africa,source_to_target,religious_transmission,islamic_africa,The mosques and holy places of Timbuktu have played an essential role in the spread of Islam in Africa at an early period.,provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/119/
R0003,242,Ajanta Caves,South Asia,Southeast Asia,source_to_target,artistic_influence,india_java,"The style of Ajanta has exerted a considerable influence in India and elsewhere, extending, in particular, to Java.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/242/
R0004,249,Group of Monuments at Mahabalipuram,South Asia,Southeast Asia,source_to_target,artistic_influence,south_asia_southeast_asia,"The influence of the sculptures of Mahabalipuram, characterized by the softness and suppleness of their modelling, spread afar to places such as Cambodia, Annam and Java.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/249/
R0005,322,Ruins of the Buddhist Vihara at Paharpur,South Asia,Southeast Asia,source_to_target,architectural_style,south_asia_southeast_asia,"The striking architectural form introduced at Paharpur on a grand scale for the first time in Asia, profoundly influenced the subsequent construction of temples of Pagan in Myanmar and Loro-Jongrang and Chandi Sewer temples in central Java. It also continued to influence Buddhist architecture as far away as Cambodia. The craftsmanship of Paharpur terracotta still endures since the 8 th century A.D. in the whole of deltaic lands around.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/322/
R0006,361,Historic Centre of Évora,Southern Europe,Atlantic South America / Brazil,source_to_target,architectural_style,iberian_atlantic,"The cityscape of the Historic Centre of Évora is a unique place for understanding the influence exerted by Portuguese architecture in Brazil, in sites such as the Historic Centre of Salvador de Bahía.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/361/
R0007,381,Old City of Salamanca,Southern Europe,Transregional / Multiple,source_to_target,architectural_style,latin_america,"With the Plaza Mayor, the Clerecía (the Jesuit seminary), the college of Calatrava, the Colegio San Ambrosio, the churches of San Sebastián and Santa Cruz de Cañizares, the New Cathedral, and San Esteban, Salamanca is one of the essential art centres of the Churriguera family dynasty of architects, decorators and sculptors of Catalonia. The “churrigueresque” style exerted considerable influence in the 18th century not only in the Iberian Peninsula, but also in Latin America.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/381/
R0008,394,Venice and its Lagoon,Southern Europe,Southeast Europe / Balkans,source_to_target,architectural_style,adriatic_mediterranean,"The influence of Venice on the development of architecture and monumental arts is considerable; first through the Serenissima’s fondachi or trading stations, along the Dalmatian coast, in Asia Minor and in Egypt, in the islands of the Ionian Sea, the Peloponnesus, Crete, and Cyprus, where the monuments were clearly built following Venetian models. But when it began to lose its power over the seas, Venice exerted its influence in a very different manner, thanks to its great painters. Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/394/
R0009,394,Venice and its Lagoon,Southern Europe,West Asia,source_to_target,maritime_trade,eastern_mediterranean,"The influence of Venice on the development of architecture and monumental arts is considerable; first through the Serenissima’s fondachi or trading stations, along the Dalmatian coast, in Asia Minor and in Egypt, in the islands of the Ionian Sea, the Peloponnesus, Crete, and Cyprus, where the monuments were clearly built following Venetian models. But when it began to lose its power over the seas, Venice exerted its influence in a very different manner, thanks to its great painters. Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe.",provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/394/
R0010,502,Historic City of Vigan,Southern Europe,Southeast Asia,source_to_target,cultural_fusion,colonial_asia,Vigan represents a unique fusion of Asian building design and construction with European colonial architecture and planning.,provisional_medium,provisional_from_review_queue,needs_later_review,https://whc.unesco.org/en/list/502/
