property_id,whc_official_url,property_name_en,property_name_zh,inscription_year,region_en,states_name_en,whc_category,core_typology_codes,probable_typology_codes,candidate_typology_codes,main_typology_count,candidate_typology_count,needs_review_count,review_priority,notes
2,https://whc.unesco.org/en/list/2,City of Quito,基多旧城,1978,Latin America and the Caribbean,Ecuador,C,,T01_ARCHAEOLOGICAL; T05_SETTLEMENTS,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS,2,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
3,https://whc.unesco.org/en/list/3,Aachen Cathedral,亚琛大教堂,1978,Europe and North America,Germany,C,T07_RELIGIOUS,T04_HISTORIC_BUILDINGS_ENSEMBLES,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
4,https://whc.unesco.org/en/list/4,L’Anse aux Meadows National Historic Site,拉安斯欧克斯梅多国家历史遗址,1978,Europe and North America,Canada,C,,T01_ARCHAEOLOGICAL; T05_SETTLEMENTS; T06_VERNACULAR,T04_HISTORIC_BUILDINGS_ENSEMBLES; T13_SYMBOLIC_MEMORIAL,3,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
10,https://whc.unesco.org/en/list/10,Lower Valley of the Awash,阿瓦什低谷,1980,Africa,Ethiopia,C,,T01_ARCHAEOLOGICAL; T03_FOSSIL_HOMINID,T05_SETTLEMENTS,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
12,https://whc.unesco.org/en/list/12,Tiya,蒂亚,1980,Africa,Ethiopia,C,T01_ARCHAEOLOGICAL,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS; T13_SYMBOLIC_MEMORIAL,1,3,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
15,https://whc.unesco.org/en/list/15,Aksum,阿克苏姆考古遗址,1980,Africa,Ethiopia,C,,T01_ARCHAEOLOGICAL; T05_SETTLEMENTS; T12_BURIAL,T09_MILITARY,3,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
17,https://whc.unesco.org/en/list/17,Lower Valley of the Omo,奥莫低谷,1980,Africa,Ethiopia,C,,T01_ARCHAEOLOGICAL; T03_FOSSIL_HOMINID,,2,0,0,low,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
18,https://whc.unesco.org/en/list/18,"Rock-Hewn Churches, Lalibela",拉利贝拉岩石教堂,1978,Africa,Ethiopia,C,,T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS,T05_SETTLEMENTS,2,1,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
19,https://whc.unesco.org/en/list/19,"Fasil Ghebbi, Gondar Region",贡德尔地区的法西尔盖比城堡及古建筑,1979,Africa,Ethiopia,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T05_SETTLEMENTS,T07_RELIGIOUS; T09_MILITARY,2,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
20,https://whc.unesco.org/en/list/20,Ancient City of Damascus,大马士革古城,1979,Arab States,Syrian Arab Republic,C,T04_HISTORIC_BUILDINGS_ENSEMBLES,T01_ARCHAEOLOGICAL; T05_SETTLEMENTS; T07_RELIGIOUS,,4,0,0,high,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
21,https://whc.unesco.org/en/list/21,Ancient City of Aleppo,阿勒颇古城,1986,Arab States,Syrian Arab Republic,C,T05_SETTLEMENTS; T11_CULTURAL_ROUTES,T04_HISTORIC_BUILDINGS_ENSEMBLES,T07_RELIGIOUS; T09_MILITARY,3,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
22,https://whc.unesco.org/en/list/22,Ancient City of Bosra,布斯拉古城,1980,Arab States,Syrian Arab Republic,C,,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES; T07_RELIGIOUS,T05_SETTLEMENTS; T09_MILITARY,3,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
23,https://whc.unesco.org/en/list/23,Site of Palmyra,帕尔米拉古城遗址,1980,Arab States,Syrian Arab Republic,C,,T01_ARCHAEOLOGICAL; T04_HISTORIC_BUILDINGS_ENSEMBLES,T05_SETTLEMENTS; T13_SYMBOLIC_MEMORIAL,2,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
26,https://whc.unesco.org/en/list/26,Island of Gorée,戈雷岛,1978,Africa,Senegal,C,,T07_RELIGIOUS,T04_HISTORIC_BUILDINGS_ENSEMBLES; T05_SETTLEMENTS,1,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
27,https://whc.unesco.org/en/list/27,Mesa Verde National Park,梅萨维德印第安遗址,1978,Europe and North America,United States of America,C,,T05_SETTLEMENTS; T06_VERNACULAR; T10_CULTURAL_LANDSCAPES_PARKS_GARDENS,T04_HISTORIC_BUILDINGS_ENSEMBLES; T13_SYMBOLIC_MEMORIAL,3,2,0,medium,Phase 2B.5 freeze-candidate micro-patch; candidate and associative hints excluded from main diagnostics.; Phase 2B.6 statistics recomputed after user no-main-label integration.; Phase 2B.7 user-reviewed shortlist decisions applied; obvious-miss audit outputs are review-only.; Phase 2B.8b final user review integration; no Table 5 count forcing.
