edge_id,property_id,property_name_en,source_region,target_region,direction,exchange_type_refined,exchange_geography,evidence_quote,confidence,data_layer,review_status,whc_official_url
P0001,2,City of Quito,Southern Europe,Andean America,source_to_target,architectural_style,europe,"The influence of the Baroque school of Quito ( Escuela Quitena) was recognized in the cultural domain, especially art – architecture, sculpture and painting – in all the cities of the Audencia , and even in those of the neighbouring Audencia. [Patch note: Criterion ii statement describes Quito school influence within the Audiencia; colonial fusion may be valid but needs review.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/2/
P0002,37,Archaeological Site of Carthage,Transregional / Multiple,North Africa,source_to_target,cultural_succession,Mediterranean,"Outstanding place of blossoming and diffusion of several cultures that succeeded one another (Phoenico-Punic, Roman, Paleochristian and Arab); Carthage has exercised considerable influence on the development of the arts, architecture and town planning in the Mediterranean.",high,coded_conservative,coded,https://whc.unesco.org/en/list/37/
P0003,37,Archaeological Site of Carthage,West Asia,North Africa,source_to_target,artistic_influence,mediterranean,"Outstanding place of blossoming and diffusion of several cultures that succeeded one another (Phoenico-Punic, Roman, Paleochristian and Arab); Carthage has exercised considerable influence on the development of the arts, architecture and town planning in the Mediterranean.",high,coded_conservative,coded,https://whc.unesco.org/en/list/37/
P0004,164,"Arles, Roman and Romanesque Monuments",Transregional / Multiple,Western Europe,source_to_target,cultural_succession,Mediterranean,Its influence was considerable in the 12th and 13th centuries across the Mediterranean world.,high,coded_conservative,coded,https://whc.unesco.org/en/list/164/
P0005,170,Medina of Fez,Transregional / Multiple,North Africa,source_to_target,cultural_succession,Mediterranean,"The Medina of Fez bears a living witness to a flourishing city of the eastern Mediterranean having exercised considerable influence mainly from the 12th to the 15th centuries, on the development of architecture, monumental arts and town-planning, notably in North Africa, Andalousia and in Sub-Saharan Africa.",high,coded_conservative,coded,https://whc.unesco.org/en/list/170/
P0006,183,Archaeological Site of Leptis Magna,Southern Europe,North Africa,source_to_target,artistic_influence,mediterranean,"The large number of sculptures and statues found in Leptis demonstrate clearly Punic, Roman, Greek and Hellenistic influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/183/
P0007,183,Archaeological Site of Leptis Magna,West Asia,North Africa,source_to_target,maritime_trade,maritime,"The large number of sculptures and statues found in Leptis demonstrate clearly Punic, Roman, Greek and Hellenistic influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/183/
P0008,188,M'Zab Valley,West Asia,North Africa,source_to_target,artistic_influence,asia,"This model settlement has exercised considerable influence for nearly a millennium on Arab architecture and town-planning, including architects and town-planners of the 20th century, from Le Corbusier to Fernand Pouillon and André Raverau.",high,coded_conservative,coded,https://whc.unesco.org/en/list/188/
P0009,194,Timgad,Southern Europe,North Africa,source_to_target,artistic_influence,mediterranean,"The site of Timgad, with its Roman military camp, its model town-planning and its particular type of civil and military architecture reflects an important interchange of ideas, technologies and traditions exercised by the central power of Rome on the colonisation of the high plains of Antique Algeria.",high,coded_conservative,coded,https://whc.unesco.org/en/list/194/
P0010,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Transregional / Multiple,Central Asia,multidirectional,route_network,silk_route,"The artistic and architectural remains of Bamiyan Valley, an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman and Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school.",high,coded_conservative,coded,https://whc.unesco.org/en/list/208/
