edge_id,property_id,property_name_en,source_region,target_region,direction,exchange_type_refined,exchange_geography,evidence_quote,confidence,data_layer,review_status,whc_official_url
E0001,2,City of Quito,Southern Europe,Andean America,source_to_target,architectural_style,europe,"The influence of the Baroque school of Quito ( Escuela Quitena) was recognized in the cultural domain, especially art – architecture, sculpture and painting – in all the cities of the Audencia , and even in those of the neighbouring Audencia. [Patch note: Criterion ii statement describes Quito school influence within the Audiencia; colonial fusion may be valid but needs review.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/2/
E0002,37,Archaeological Site of Carthage,Transregional / Multiple,North Africa,source_to_target,cultural_succession,Mediterranean,"Outstanding place of blossoming and diffusion of several cultures that succeeded one another (Phoenico-Punic, Roman, Paleochristian and Arab); Carthage has exercised considerable influence on the development of the arts, architecture and town planning in the Mediterranean.",high,coded_conservative,coded,https://whc.unesco.org/en/list/37/
E0003,37,Archaeological Site of Carthage,West Asia,North Africa,source_to_target,artistic_influence,mediterranean,"Outstanding place of blossoming and diffusion of several cultures that succeeded one another (Phoenico-Punic, Roman, Paleochristian and Arab); Carthage has exercised considerable influence on the development of the arts, architecture and town planning in the Mediterranean.",high,coded_conservative,coded,https://whc.unesco.org/en/list/37/
E0004,164,"Arles, Roman and Romanesque Monuments",Transregional / Multiple,Western Europe,source_to_target,cultural_succession,Mediterranean,Its influence was considerable in the 12th and 13th centuries across the Mediterranean world.,high,coded_conservative,coded,https://whc.unesco.org/en/list/164/
E0005,170,Medina of Fez,Transregional / Multiple,North Africa,source_to_target,cultural_succession,Mediterranean,"The Medina of Fez bears a living witness to a flourishing city of the eastern Mediterranean having exercised considerable influence mainly from the 12th to the 15th centuries, on the development of architecture, monumental arts and town-planning, notably in North Africa, Andalousia and in Sub-Saharan Africa.",high,coded_conservative,coded,https://whc.unesco.org/en/list/170/
E0006,183,Archaeological Site of Leptis Magna,Southern Europe,North Africa,source_to_target,artistic_influence,mediterranean,"The large number of sculptures and statues found in Leptis demonstrate clearly Punic, Roman, Greek and Hellenistic influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/183/
E0007,183,Archaeological Site of Leptis Magna,West Asia,North Africa,source_to_target,maritime_trade,maritime,"The large number of sculptures and statues found in Leptis demonstrate clearly Punic, Roman, Greek and Hellenistic influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/183/
E0008,188,M'Zab Valley,West Asia,North Africa,source_to_target,artistic_influence,asia,"This model settlement has exercised considerable influence for nearly a millennium on Arab architecture and town-planning, including architects and town-planners of the 20th century, from Le Corbusier to Fernand Pouillon and André Raverau.",high,coded_conservative,coded,https://whc.unesco.org/en/list/188/
E0009,194,Timgad,Southern Europe,North Africa,source_to_target,artistic_influence,mediterranean,"The site of Timgad, with its Roman military camp, its model town-planning and its particular type of civil and military architecture reflects an important interchange of ideas, technologies and traditions exercised by the central power of Rome on the colonisation of the high plains of Antique Algeria.",high,coded_conservative,coded,https://whc.unesco.org/en/list/194/
E0010,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Transregional / Multiple,Central Asia,multidirectional,route_network,silk_route,"The artistic and architectural remains of Bamiyan Valley, an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman and Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school.",high,coded_conservative,coded,https://whc.unesco.org/en/list/208/
E0011,234,Churches and Convents of Goa,Southern Europe,South Asia,source_to_target,architectural_style,europe,"The monuments of Goa, “Rome of the Orient”, exerted great influence from the 16th to the 18th century on the development of architecture, sculpture and painting by spreading forms of Manueline, Mannerist and Baroque art throughout the countries of Asia where Catholic missions were established.",high,coded_conservative,coded,https://whc.unesco.org/en/list/234/
E0012,313,Historic Centre of Cordoba,West Asia,Southern Europe,source_to_target,artistic_influence,europe,"Despite its uniqueness, the mosque of Cordoba has exercised a considerable influence on western Muslim art from the 8th century.",high,coded_conservative,coded,https://whc.unesco.org/en/list/313/
E0013,393,Archaeological Site of Delphi,Transregional / Multiple,Southern Europe,multidirectional,route_network,interregional,"Even pillaging of the Sanctuary by the emperor Nero and by Constantine the Great, who transported spoils from it to Rome and Constantinople, added to the artistic influence of Delphi.",high,coded_conservative,coded,https://whc.unesco.org/en/list/393/
E0014,400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Southern Europe,Central Europe,source_to_target,artistic_influence,mediterranean,"Aquincum played an essential role in the diffusion of Roman architectural forms in Pannonia, then in Dacia.",high,coded_conservative,coded,https://whc.unesco.org/en/list/400/
E0015,412,Historic Centre of Mexico City and Xochimilco,Southern Europe,Mesoamerica,source_to_target,colonial_encounter,europe,"From the 14th to the 19th century, Tenochtitlan, and subsequently, Mexico City, exerted decisive influence on the development of architecture, the monumental arts and the use of space first in the Aztec kingdom and later in New Spain.",high,coded_conservative,coded,https://whc.unesco.org/en/list/412/
E0016,415,Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Southern Europe,Mesoamerica,source_to_target,colonial_encounter,europe,"The nearby city of Oaxaca, which is built on a grid pattern, is a good example of Spanish colonial town planning.",medium,coded_conservative,coded,https://whc.unesco.org/en/list/415/
E0017,416,Historic Centre of Puebla,Southern Europe,Mesoamerica,source_to_target,architectural_style,europe,"Puebla’s strategic location on a major transportation corridor permitted the exportation of its regional style of Baroque architecture, a fusion of European and indigenous styles, after the 16th century.",high,coded_conservative,coded,https://whc.unesco.org/en/list/416/
E0018,420,City of Potosí,South Asia,Andean America,source_to_target,artistic_influence,asia,"The “Imperial City” of Potosí, such as it became following the visit of Francisco de Toledo in 1572, exerted lasting influence on the development of architecture and monumental arts in the central region of the Andes by spreading the forms of a baroque style incorporating Indian influences. [Patch note: Indian influences means indigenous/local in the Potosi criterion ii statement, not South Asia.]",patched_needs_review,coded_needs_review,needs_later_review,https://whc.unesco.org/en/list/420/
E0019,420,City of Potosí,Southern Europe,Andean America,source_to_target,architectural_style,europe,"The “Imperial City” of Potosí, such as it became following the visit of Francisco de Toledo in 1572, exerted lasting influence on the development of architecture and monumental arts in the central region of the Andes by spreading the forms of a baroque style incorporating Indian influences.",high,coded_conservative,coded,https://whc.unesco.org/en/list/420/
E0020,440,Mogao Caves,Central Asia,East Asia,source_to_target,artistic_influence,asia,"For 1,000 years, from the period of the Northern Wei Dynasty (386-534) to the Mongol-led Yuan Dynasty (1276-1386), the caves of Mogao played a decisive role in artistic exchanges between China, Central Asia and India.",high,coded_conservative,coded,https://whc.unesco.org/en/list/440/
